Transaction ID,Customer ID,Customer Name,Receiver ID,Receiver Name,Transaction Amount,Date,Transaction Type,Country of Origin,Country of Destination,Risk Level,Method of Payment,Previous Flags,Suspicious Activity
63673182,47694,Grace Hahn,97761,Victoria Carlson,807.3176877,02-01-2024,Transfer,Turkmenistan,Slovakia (Slovak Republic),Low,Credit Card,0,No
3019500,47694,Grace Hahn,65343,Jacob Munoz II,788.3560124,12-01-2024,Withdrawal,Mozambique,Seychelles,Low,Cash,0,No
91955970,47694,Grace Hahn,66521,Jaclyn Knight,693.950107,19-01-2024,Transfer,Yemen,Central African Republic,Low,Cash,0,No
66456644,47694,Grace Hahn,10637,Joshua Wiley,717.4760478,04-02-2024,Withdrawal,Nigeria,Kenya,Low,Credit Card,0,No
33015098,47694,Grace Hahn,32415,Amy Maldonado,638.4402256,20-02-2024,Withdrawal,Denmark,South Georgia and the South Sandwich Islands,Low,Bank Transfer,0,No
85444373,47694,Grace Hahn,62949,Franklin Anderson,582.0579498,08-04-2024,Transfer,Slovenia,Cook Islands,Low,Bank Transfer,0,No
72841646,47694,Grace Hahn,7398,Ariana Smith,755.6487277,05-06-2024,Withdrawal,Hong Kong,Reunion,Low,Credit Card,0,No
84911193,47694,Grace Hahn,65343,Jacob Munoz II,54855.70295,02-07-2024,Deposit,Trinidad and Tobago,Jamaica,Medium,Bank Transfer,0,Yes
35602021,47694,Grace Hahn,65343,Jacob Munoz II,78192.85159,31-08-2024,Payment,Ireland,United Arab Emirates,High,Credit Card,1,Yes
17687860,47694,Grace Hahn,65343,Jacob Munoz II,60267.27848,31-08-2024,Payment,Poland,Singapore,High,Digital Wallet,2,Yes
30614009,62949,Ricardo Hobbs,34997,Danielle Jones,306.538668,01-01-2024,Deposit,Papua New Guinea,El Salvador,Low,Bank Transfer,0,No
90995713,62949,Ricardo Hobbs,45421,Edward Wright,98234.11494,29-02-2024,Deposit,Palestinian Territory,British Virgin Islands,Medium,Credit Card,0,Yes
5379821,62949,Ricardo Hobbs,6931,Tammy Frazier,557.3034816,11-04-2024,Payment,Jersey,Armenia,Low,Cash,0,No
47396701,62949,Ricardo Hobbs,51205,Hannah Snyder,337.8671991,18-04-2024,Payment,Cape Verde,Lebanon,Low,Credit Card,0,No
59034269,62949,Ricardo Hobbs,65343,Elizabeth York,391.756194,04-06-2024,Deposit,Guam,Costa Rica,Low,Credit Card,0,No
30865147,62949,Ricardo Hobbs,45421,Edward Wright,81377.17521,11-07-2024,Withdrawal,Antarctica (the territory South of 60 deg S),Korea,High,Digital Wallet,1,Yes
89509598,62949,Ricardo Hobbs,45421,Edward Wright,98570.71485,30-07-2024,Transfer,Belgium,Andorra,High,Digital Wallet,2,Yes
8576775,62949,Ricardo Hobbs,45421,Edward Wright,384.1538018,18-08-2024,Payment,Portugal,French Southern Territories,Low,Digital Wallet,0,No
13636772,62949,Ricardo Hobbs,74948,Melissa Taylor,901.0426581,03-09-2024,Withdrawal,Chad,Latvia,Low,Bank Transfer,0,No
88503872,62949,Ricardo Hobbs,61459,Amy Krueger DDS,706.1855313,19-09-2024,Withdrawal,Bulgaria,Bouvet Island (Bouvetoya),Low,Credit Card,0,No
23156300,7398,Kathleen Davis,21363,Vickie Boyd,87576.63049,21-02-2024,Withdrawal,Philippines,Timor-Leste,Medium,Cash,0,Yes
53342966,7398,Kathleen Davis,45421,Jamie Hanson,800.9475432,02-03-2024,Payment,Kuwait,Denmark,Low,Digital Wallet,0,No
58038310,7398,Kathleen Davis,2612,Christopher Peters,961.0943081,23-03-2024,Transfer,Mali,Lao People's Democratic Republic,Low,Cash,0,No
91579457,7398,Kathleen Davis,66521,Scott White,928.4189384,27-03-2024,Deposit,Cuba,Greenland,Low,Bank Transfer,0,No
29505699,7398,Kathleen Davis,23905,Elaine Daniel,595.6654591,26-05-2024,Withdrawal,Saint Pierre and Miquelon,Botswana,Low,Credit Card,0,No
30215900,7398,Kathleen Davis,21363,Vickie Boyd,979.71431,11-07-2024,Deposit,Portugal,Norway,Low,Digital Wallet,0,No
99705249,7398,Kathleen Davis,21363,Vickie Boyd,56422.91348,28-07-2024,Payment,Cuba,Portugal,High,Digital Wallet,1,Yes
55671173,7398,Kathleen Davis,33133,Susan Costa,585.9938575,31-07-2024,Transfer,Lithuania,Guatemala,Low,Credit Card,0,No
54131826,7398,Kathleen Davis,43965,Brenda Russell,517.7962042,16-08-2024,Withdrawal,Micronesia,Jamaica,Low,Credit Card,0,No
69972098,7398,Kathleen Davis,21363,Vickie Boyd,65008.57949,10-09-2024,Deposit,Bahrain,Namibia,High,Cash,2,Yes
19415074,66521,Angelica Dyer,2612,Scott Myers,731.5551484,15-01-2024,Transfer,Samoa,Aruba,Low,Digital Wallet,0,No
22490855,66521,Angelica Dyer,10637,Jennifer Neal,315.2680738,29-01-2024,Deposit,Paraguay,Netherlands Antilles,Low,Bank Transfer,0,No
29684426,66521,Angelica Dyer,10637,Jennifer Neal,73935.03484,11-02-2024,Deposit,Thailand,Antigua and Barbuda,Medium,Digital Wallet,0,Yes
31390187,66521,Angelica Dyer,74948,Robert Johnson,563.0066222,27-02-2024,Deposit,Indonesia,Gibraltar,Low,Bank Transfer,0,No
15848103,66521,Angelica Dyer,33133,John Jordan,713.1332486,08-03-2024,Transfer,Serbia,Bahamas,Low,Digital Wallet,0,No
18420347,66521,Angelica Dyer,34997,Phyllis Guzman,524.4499228,11-03-2024,Deposit,Bolivia,Cocos (Keeling) Islands,Low,Digital Wallet,0,No
43896119,66521,Angelica Dyer,10637,Jennifer Neal,97730.64102,16-03-2024,Payment,Rwanda,Cambodia,High,Bank Transfer,1,Yes
93898211,66521,Angelica Dyer,62949,Jessica Reynolds,835.5116891,09-04-2024,Transfer,Madagascar,Dominican Republic,Low,Digital Wallet,0,No
92620431,66521,Angelica Dyer,10637,Jennifer Neal,95011.52983,23-04-2024,Withdrawal,Haiti,Bangladesh,High,Digital Wallet,2,Yes
