Transaction ID,Customer ID,Customer Name,Receiver ID,Receiver Name,Transaction Amount,Date,Transaction Type,Country of Origin,Country of Destination,Risk Level,Method of Payment,Previous Flags,Suspicious Activity
63673182,47694,Grace Hahn,97761,Victoria Carlson,807.317687726643,2024-01-02,Transfer,Turkmenistan,Slovakia (Slovak Republic),Low,Credit Card,0,No
3019500,47694,Grace Hahn,65343,Jacob Munoz II,788.3560123559555,2024-01-12,Withdrawal,Mozambique,Seychelles,Low,Cash,0,No
91955970,47694,Grace Hahn,66521,Jaclyn Knight,693.9501070173777,2024-01-19,Transfer,Yemen,Central African Republic,Low,Cash,0,No
66456644,47694,Grace Hahn,10637,Joshua Wiley,717.4760478008367,2024-02-04,Withdrawal,Nigeria,Kenya,Low,Credit Card,0,No
33015098,47694,Grace Hahn,32415,Amy Maldonado,638.4402255792759,2024-02-20,Withdrawal,Denmark,South Georgia and the South Sandwich Islands,Low,Bank Transfer,0,No
85444373,47694,Grace Hahn,62949,Franklin Anderson,582.057949788943,2024-04-08,Transfer,Slovenia,Cook Islands,Low,Bank Transfer,0,No
72841646,47694,Grace Hahn,7398,Ariana Smith,755.6487276839212,2024-06-05,Withdrawal,Hong Kong,Reunion,Low,Credit Card,0,No
84911193,47694,Grace Hahn,65343,Jacob Munoz II,54855.70294819811,2024-07-02,Deposit,Trinidad and Tobago,Jamaica,Medium,Bank Transfer,0,Yes
35602021,47694,Grace Hahn,65343,Jacob Munoz II,78192.85159436509,2024-08-31,Payment,Ireland,United Arab Emirates,High,Credit Card,1,Yes
17687860,47694,Grace Hahn,65343,Jacob Munoz II,60267.278477818705,2024-08-31,Payment,Poland,Singapore,High,Digital Wallet,2,Yes
30614009,62949,Ricardo Hobbs,34997,Danielle Jones,306.5386680134898,2024-01-01,Deposit,Papua New Guinea,El Salvador,Low,Bank Transfer,0,No
90995713,62949,Ricardo Hobbs,45421,Edward Wright,98234.11494419671,2024-02-29,Deposit,Palestinian Territory,British Virgin Islands,Medium,Credit Card,0,Yes
5379821,62949,Ricardo Hobbs,6931,Tammy Frazier,557.3034815763898,2024-04-11,Payment,Jersey,Armenia,Low,Cash,0,No
47396701,62949,Ricardo Hobbs,51205,Hannah Snyder,337.8671990697694,2024-04-18,Payment,Cape Verde,Lebanon,Low,Credit Card,0,No
59034269,62949,Ricardo Hobbs,65343,Elizabeth York,391.7561939828446,2024-06-04,Deposit,Guam,Costa Rica,Low,Credit Card,0,No
30865147,62949,Ricardo Hobbs,45421,Edward Wright,81377.1752074289,2024-07-11,Withdrawal,Antarctica (the territory South of 60 deg S),Korea,High,Digital Wallet,1,Yes
89509598,62949,Ricardo Hobbs,45421,Edward Wright,98570.71484790544,2024-07-30,Transfer,Belgium,Andorra,High,Digital Wallet,2,Yes
8576775,62949,Ricardo Hobbs,45421,Edward Wright,384.1538018444571,2024-08-18,Payment,Portugal,French Southern Territories,Low,Digital Wallet,0,No
13636772,62949,Ricardo Hobbs,74948,Melissa Taylor,901.042658137334,2024-09-03,Withdrawal,Chad,Latvia,Low,Bank Transfer,0,No
88503872,62949,Ricardo Hobbs,61459,Amy Krueger DDS,706.1855312809964,2024-09-19,Withdrawal,Bulgaria,Bouvet Island (Bouvetoya),Low,Credit Card,0,No
23156300,7398,Kathleen Davis,21363,Vickie Boyd,87576.63048834703,2024-02-21,Withdrawal,Philippines,Timor-Leste,Medium,Cash,0,Yes
53342966,7398,Kathleen Davis,45421,Jamie Hanson,800.9475432014273,2024-03-02,Payment,Kuwait,Denmark,Low,Digital Wallet,0,No
58038310,7398,Kathleen Davis,2612,Christopher Peters,961.0943080875629,2024-03-23,Transfer,Mali,Lao People's Democratic Republic,Low,Cash,0,No
91579457,7398,Kathleen Davis,66521,Scott White,928.4189384386962,2024-03-27,Deposit,Cuba,Greenland,Low,Bank Transfer,0,No
29505699,7398,Kathleen Davis,23905,Elaine Daniel,595.6654591379154,2024-05-26,Withdrawal,Saint Pierre and Miquelon,Botswana,Low,Credit Card,0,No
30215900,7398,Kathleen Davis,21363,Vickie Boyd,979.714309958343,2024-07-11,Deposit,Portugal,Norway,Low,Digital Wallet,0,No
